total_positions,win_positions,win_rate,total_pnl,total_roi,sharpe_ratio,max_drawdown,Port_ID,Rank
108,63,0.5833333333333334,-604059.0603535821,27.39837232146718,0.7954753073288675,0.011677147082479761,3826087012661391104,1.0
14,6,0.42857142857142855,6.6501825614401495,13.584387825666678,0.8660188002771088,0.0,3768170840939476993,2.0
83,33,0.39759036144578314,263.93114603645927,3.4448049520727486,0.8066641924519151,0.0,3977234346014419201,3.0
45,20,0.4444444444444444,83192040.37167591,3.2921025103985193,0.8103077176950353,0.0,3944658614777849089,4.0
28,20,0.7142857142857143,6703182.3207736,2.9917391969470546,1.3466169616949668,0.0,3956048468100538880,5.0
133,59,0.44360902255639095,17054.1729914856,2.850302644305213,0.8899332102770077,0.0,4039129759104249600,6.0
321,123,0.38317757009345793,4820.970004938081,2.461558131065969,0.7853767124703519,0.0,4034786679304751616,7.0
856,367,0.4287383177570093,27074.216595902595,2.372680758754673,0.7196546083168945,0.0,4029749871687083265,8.0
311,93,0.2990353697749196,-13942532.22910176,2.320118078210534,0.3314601890996827,0.18766031566560443,3991414786174551297,9.0
89,43,0.48314606741573035,2930369.229393832,2.1006787821720865,0.9530858240196377,0.0,4035430878731345664,10.0
1249,931,0.745396317053643,109263784.53809452,2.093582318290663,0.5841524469394137,0.07864732730160082,3886752488982104320,11.0
317,102,0.3217665615141956,16802.915508845614,2.062641332391859,0.6862980185236481,0.0,4037717032428033792,12.0
20,6,0.3,669358471.1107401,2.0546917563456017,0.5958155838947244,0.0,3936410995029308417,13.0
437,283,0.6475972540045767,1483.2161466002626,2.042827081843975,1.1296923638649898,0.0,3891020560590657281,14.0
43,14,0.32558139534883723,348.258238058008,1.9278545403528904,0.6859909306571376,0.0,3983074113875692800,15.0
6052,2634,0.43522802379378717,9895.029746788057,1.8807557538389346,0.5648395245891683,0.5733837804980212,4022641794255717633,16.0
627,251,0.4003189792663477,-1509884.3240470577,1.7348324166807783,0.39717342412798945,2.3228997460254357,4012994295026226176,17.0
327,181,0.5535168195718655,170.4072858587481,1.608147861385256,1.1027597769910635,0.0,4039279455324236544,18.0
4137,2540,0.6139714769156394,250519.96306403275,1.5874461673681801,0.7846218411904953,0.03548698810910918,3907081197088384000,19.0
483,200,0.4140786749482402,41370374.190743774,1.5289047110106206,0.17499736025367113,0.9566885539260377,3914654298562589441,20.0
102,38,0.37254901960784315,1033496.6865260723,1.5072335238820749,0.6823158041512295,0.0,4029422834086627072,21.0
958,537,0.5605427974947808,12982925.501945741,1.4519673322588023,0.46885062200394684,0.9805640160395371,4000222729738650369,22.0
3554,2780,0.7822172200337648,133508.6609453572,1.4365072464237936,1.2887333027371313,7.952397016586114e-05,3986814617275053313,23.0
223,123,0.5515695067264574,7111353.100047122,1.4091598039456075,0.9368957461068154,0.04861426190288516,4032403303704824321,24.0
254,59,0.23228346456692914,20282.43866912424,1.3840993886141146,0.5494762825162222,0.0,4037785885739608577,25.0
446,83,0.1860986547085202,15072.243050700867,1.3818458103535485,0.4733450329365615,0.0,4037073643537925121,26.0
1759,964,0.5480386583285958,4264527.142257483,1.344990471900203,0.7399204402878857,0.0038148317688931114,3943533600390906881,27.0
545,273,0.5009174311926605,62339.33446761029,1.3126852867872714,0.5934891502550356,0.0,4017323550554338817,28.0
358,236,0.659217877094972,-8072.427225770813,1.2609338909686783,0.8142706760019403,0.7262548142340833,4013955990069013504,29.0
97,38,0.3917525773195876,312666.22356034943,1.0818209118606927,0.7953329980346389,0.0,4041860229502600193,30.0
474,210,0.4430379746835443,954246.2062879235,1.0512042513966073,0.2965465360998361,0.2849676189305112,3672754654734989568,31.0
64,30,0.46875,1830664.2177270853,0.9947283033378511,0.17333366691028632,0.0,3911997667197443328,32.0
953,413,0.4333683105981112,-11946926.230326297,0.9835053313748592,0.3203911191202771,0.8971905170913483,4037511388357114368,33.0
395,66,0.1670886075949367,11864.934762119812,0.9635775154088889,0.3684102276140764,0.502333175316328,4035034554469394176,34.0
6063,2774,0.4575292759360053,4085589.851739287,0.9497675272427935,0.44204038084056674,0.015631905877224694,3944088772635000577,35.0
3318,1443,0.4349005424954792,10147370.695471494,0.932917454259529,0.483260400058524,0.14590543847411924,3999845462424248576,36.0
535,249,0.4654205607476635,116725312.87937778,0.8953911706848644,0.38204837287801396,0.1993295580576504,4008537296438699777,37.0
3916,2019,0.5155771195097038,299879218.23643106,0.8846596897979991,0.6804580816657232,0.13626488197809009,3956076827719377409,38.0
294,61,0.20748299319727892,85445.44964091561,0.8833394199389347,0.4619108764075652,0.0,4013978721149559808,39.0
689,553,0.8026124818577649,87911692.66131099,0.8762180867343693,0.9654480827817639,0.06795964444596579,3733192481840423936,40.0
